class,category,product,labs_needed,ordered_by,md_call_needed,uses,side_effects,contraindication
Peptide,Fat Loss,5-Amino-1MQ Pill,CMP/CRP/Sed Rate,Ace,N,"Primary Use: Fat loss, insulin sensitivity, and muscle preservation

Mechanism: Inhibits NNMT → increases NAD⁺ → enhances metabolism, mitochondrial function, and AMPK activity

Clinical Target: Obesity, metabolic syndrome, sarcopenia",Headache · mild jitteriness · queasy stomach,Uncontrolled high BP · Severe anxiety / bipolar disorder · Advanced liver or kidney disease · You already take an MAOI antidepressant
Peptide,Fat Loss,AOD Troche,N/A,Ace,N,"Primary Use: Fat burning (lipolysis) without affecting blood sugar or GH levels

Mechanism: Fragment of hGH (176–191) → targets adipose tissue to promote lipolysis

Clinical Target: Obesity, localized fat reduction",Headache · light dizziness · mild belly upset,"Any active cancer · Uncontrolled diabetes · Serious heart failure
"
Peptide,Healing,BPC Injection (compounded),N/A,Ace,N,"Primary Use: Tissue regeneration, gut repair, injury recovery

Mechanism: Stimulates angiogenesis via VEGF modulation. Enhances fibroblast migration and collagen production. Modulates nitric oxide, dopamine, and serotonin for tissue protection

Clinical Target: Tendon and ligament injuries. Leaky gut, ulcers, inflammatory bowel disease (IBD). Muscle, nerve, and joint healing. Post-surgical recovery",Sore or red spot if injected · mild nausea · tiredness,"Active or recent cancer · Bleeding/clotting disorder
"
Peptide,Healing,BPC Pill,N/A,Ace,N,"Primary Use: Tissue regeneration, gut repair, injury recovery

Mechanism: Stimulates angiogenesis via VEGF modulation. Enhances fibroblast migration and collagen production. Modulates nitric oxide, dopamine, and serotonin for tissue protection

Clinical Target: Tendon and ligament injuries. Leaky gut, ulcers, inflammatory bowel disease (IBD). Muscle, nerve, and joint healing. Post-surgical recovery",Sore or red spot if injected · mild nausea · tiredness,"Active or recent cancer · Bleeding/clotting disorder

Autoimmune flare that’s already raging"
Peptide,Healing/Systemic Inflammation/Autoimmune,BPC/KPV Pill,N/A,Ace,N,"Primary Use: Gut inflammation control, immune modulation

Mechanism: BPC-157: Promotes angiogenesis and epithelial repair. KPV: Suppresses pro-inflammatory cytokines (TNF-α, IL-6) by binding melanocortin-1 receptor (MC1R) and inhibiting NF-κB signaling

Clinical Target: Ulcerative colitis, Crohn’s disease, IBS. Systemic inflammation with gut involvement. Leaky gut with immune activation. Inflammatory skin and mucosal conditions (via systemic immune modulation)
",Sore or red spot if injected · mild nausea · tiredness  · occasional facial flushing,"Active or recent cancer · Bleeding/clotting disorder

Autoimmune flare that’s already raging"
Peptide,Growth Hormone,CJC/IPA Injection (compounded),IGF/Prolactin,Ace,N,"Primary Use: Growth hormone stimulation, anti-aging, recovery, fat loss

Mechanism: CJC-1295 (GHRH analog) + Ipamorelin (Ghrelin mimetic) → increase GH/IGF-1

Clinical Target: GH deficiency, aging, sleep, body composition","Water retention → puffy fingers, tingling, wrist ache · bigger appetite · warm flushing","Active malignancy · Proliferative diabetic eye disease · Known pituitary tumour · Untreated severe sleep apnoea
"
Peptide,Cognitive,Dihexa Pill,N/A,Ace,N,"Primary Use: Cognitive enhancement, neurogenesis, Alzheimer's support

Mechanism: Angiotensin IV derivative → promotes synaptogenesis and BDNF potentiation

Clinical Target: Cognitive decline, TBI, neurodegeneration, learning/memory support",Headache · vivid dreams · water retension,"Active cancer · Recurrent fainting or very low blood-pressure episodes
"
Peptide,Skin,GHK-Cu Injection,N/A,Ace,N,"Primary Use: Systemic tissue repair, wound healing, inflammation control

Mechanism: Regulates gene expression for tissue regeneration and anti-inflammation

Clinical Target: Healing, anti-aging, fibrosis, organ protection",Coppery/metal taste right after the shot · itchy or red skin at site · brief light-headed feeling,Active/suspected cancer or copper/metal metabolism disorders (Wilson's disease) and allergies to metals. 
Medication,Autoimmune,LDN,N/A,Ace/Heather,Y,"Primary Use: Immune modulation, inflammation control, chronic pain management

Mechanism: At low doses (typically 0.5–4.5 mg), naltrexone temporarily blocks opioid receptors → rebound increase in endogenous endorphins (met-enkephalin, β-endorphin). Modulates immune response by inhibiting TLR4 (Toll-like receptor 4) on microglia and immune cells → reduces pro-inflammatory cytokines (e.g., TNF-α, IL-6, IL-1β)

Clinical Target: Autoimmune diseases: Hashimoto’s thyroiditis, rheumatoid arthritis, lupus, multiple sclerosis (MS), psoriasis, Crohn’s disease. Chronic pain syndromes: Fibromyalgia, complex regional pain syndrome (CRPS), neuropathic pain. Neuroinflammation: ME/CFS, long COVID, depression with inflammatory component

Cancer support: Adjunct therapy (via immune enhancement and modulation of tumor microenvironment)",Vivid dreams · trouble falling asleep (first week) · mild stomach cramp,"Narcotics/Alcohol use (LDN blocks opioid receptors). Need one full week off prior to prescribing LDN

Acute hepatitis or decompensated liver disease
"
Peptide,Mitochondria/Cognitive,Methylene Blue Pill,N/A,Ace,N,"Primary Use: Mitochondrial function, cognitive enhancement, anti-aging

Mechanism: Acts as an electron donor in mitochondrial complex IV, improves ATP production

Clinical Target: Cognitive decline, neurodegeneration, chronic fatigue, Long COVID",Blue-green pee & tongue · nausea · headache,"G-6-PD deficiency · You take an SSRI/SNRI (serotonin-syndrome risk) · Severe kidney disease
"
